seed_id,category,seed_question_zh,seed_question_en,knowledge_type,clinical_risk_level,source_anchor_en,source_anchor_zh,notes
1,妇科/产科,孕前常规补充0.4mg叶酸预防神经管缺陷的分子机制,The molecular mechanism by which routine 0.4mg folic acid supplementation before pregnancy prevents neural tube defects,机制,low,ACOG Practice Bulletin,中华医学会妇产科学分会,
2,妇科/产科,孕期咖啡因安全摄入量(<200mg)与胎盘代谢原理,Safe caffeine intake limit during pregnancy (<200mg) and the placental metabolic mechanism,机制,low,ACOG Committee Opinion,中华医学会妇产科学分会,
3,妇科/产科,孕期正常生理性水肿与病理性水肿的区别标准,Criteria for distinguishing normal physiological edema from pathological edema during pregnancy,标准,low,ACOG Practice Bulletin,中华医学会妇产科学分会,
4,妇科/产科,哺乳期乳汁淤积的早期识别与局部冷敷处理原则,Early identification of lactation milk stasis and principles of local cold compress management,流程,low,ABM Protocol,中华医学会围产医学分会,
5,妇科/产科,HPV疫苗（9价）接种的年龄限制与免疫保护机制,Age restrictions and immune protection mechanism of the 9-valent HPV vaccine,机制,low,ACOG,中华医学会妇产科学分会,
6,妇科/产科,产后盆底肌训练（Kegel运动）的正确发力流程,Correct muscle activation procedure for postpartum pelvic floor training (Kegel exercises),流程,low,ACOG Practice Bulletin,中华医学会妇产科学分会产后康复指南,
7,妇科/产科,妊娠期糖尿病（GDM）OGTT筛查的空腹血糖诊断标准,Fasting blood glucose diagnostic criteria for gestational diabetes mellitus (GDM) OGTT screening,标准,low,ACOG Practice Bulletin,中华医学会妇产科学分会,
8,妇科/产科,30岁以上女性宫颈癌联合筛查（TCT+HPV）的推荐周期,Recommended screening interval for combined cervical cancer screening (TCT+HPV) in women over 30,流程,low,ACOG Practice Bulletin,中华预防医学会妇女保健分会,
9,妇科/产科,备孕期男方精子生成周期与戒烟戒酒的时间线建议,Sperm generation cycle during pre-conception preparation and recommended timeline for quitting smoking and alcohol,流程,low,ACOG Committee Opinion,中华医学会生殖医学分会,
10,妇科/产科,孕早期正常生理性分泌物变化的判断标准,Criteria for identifying normal physiological vaginal discharge changes in early pregnancy,标准,low,ACOG Practice Bulletin,中华医学会妇产科学分会,
11,心血管/男科,静息心率的正常范围及其日常影响因素,Normal range of resting heart rate and its everyday influencing factors,标准,low,AHA Scientific Statement 2015,中华医学会心血管病学分会,
12,心血管/男科,DASH饮食（得舒饮食）降低血压的营养学机制,Nutritional mechanism by which the DASH diet lowers blood pressure,机制,low,AHA/ACC Hypertension Guideline 2017,中华医学会心血管病学分会,
13,心血管/男科,高血压患者家庭电子血压计的正确测量姿势与规范,Correct posture and protocol for home electronic blood pressure measurement in hypertensive patients,流程,low,AHA Scientific Statement on Home BP Monitoring,中华医学会心血管病学分会,
14,心血管/男科,良性前列腺增生（BPH）夜尿增多的睡前饮水调整建议,Pre-bedtime fluid intake adjustment for nocturia associated with benign prostatic hyperplasia (BPH),流程,low,AUA Guideline on BPH 2023,中华医学会泌尿外科学分会,
15,心血管/男科,长期高盐饮食导致血管内皮渗透压改变的病理机制,Pathological mechanism by which long-term high-salt diet causes changes in vascular endothelial osmotic pressure,机制,low,AHA Dietary Sodium Statement,中华医学会心血管病学分会,
16,心血管/男科,精囊腺与前列腺在男性生殖系统中的分泌功能与组成比例,Secretory functions and compositional proportions of the seminal vesicles and prostate in the male reproductive system,机制,low,AUA,中华医学会泌尿外科学分会,
17,内分泌/代谢,2型糖尿病患者低GI（血糖生成指数）食物的选择标准,Criteria for selecting low glycemic index (GI) foods for patients with type 2 diabetes,标准,low,ADA Nutrition Consensus Report 2019,中华医学会糖尿病学分会,
18,内分泌/代谢,良性甲状腺结节（TI-RADS 2-3类）的年度常规超声随访要求,Annual routine ultrasound follow-up requirements for benign thyroid nodules (TI-RADS grade 2-3),流程,low,ACR TI-RADS 2017,中华医学会内分泌学分会,
19,内分泌/代谢,痛风急性期与缓解期的嘌呤代谢机制差异,Differences in purine metabolism mechanisms between acute and remission phases of gout,机制,low,ACR Gout Guideline 2020,中华医学会风湿病学分会,
